发行商,平均在线玩家数
RPGVideo,3441.0
Armnomads,3441.0
LAN - GAMES LTD,3440.0
inXile Entertainment,3424.0
Frictional Games,3407.0
Flow Fire Games,3407.0
SUPERHOT Team,3403.0
PlayFlock,3400.0
Trinity Project,3395.0
Almost Human Games,3378.0
Flippfly LLC,3368.0
Rec Room,3341.0
TEAM HORAY,3329.0
Smit Parmar,3314.0
Ryan Jensen,3283.0
Yang Sun,3278.0
InSayn,3268.0
Pixel Gangsta Studio,3262.0
Black Maple Games,3243.0
Eugen Systems,3238.0
BitMonster,3217.0
AutoAttack Games,3210.0
深圳市爱玩游戏科技有限公司,3206.0
cwade games,3199.0
Interdimensional Games Inc,3180.0
Lightning Man Media,3171.0
the_dobrokot,3167.0
Failbetter Games,3158.0
GameWriterStudio,3153.0
Dimension 32 Entertainment,3124.0
7th Beat Games,3115.0
Athlon Games,3103.0
Quiquopro Games,3057.0
White Rabbit Games,3057.0
Team Psykskallar,3052.0
Asteristic Game Studio,3036.0
TPP Studio,3030.0
Lion's Shade,3028.0
Pipeworks Studios,3028.0
Elecorn,3023.0
D3 Go!,3002.0
Curve Digital,3001.0
team BitClub ,3000.0
Anti-Ded GameDev,2982.0
SMG Studio,2975.0
拾遗社,2968.0
Casioqu,2962.0
Panda Indie Studio,2961.0
Michael Zahniser,2950.0
Level Up Labs,2944.0
Crackshell,2942.0
MinMax Games Ltd.,2920.0
Panoramik inc,2917.0
AtomTeam,2916.0
rupiwood,2895.0
StartupTim,2894.0
Maulidan Games,2886.0
NSE,2881.0
NeocoreGames,2859.0
IriySoft,2857.0
Mossmouth,2854.0
North Lab,2854.0
NetEase Games,2851.0
Ninja Kiwi,2851.0
Weather Factory,2847.0
Blender Foundation,2838.0
DyingCat,2827.0
Asymmetric,2822.0
Infernal Dream,2821.0
HuniePot,2816.0
GuidiGermano,2813.0
Elven Workshop,2810.0
WipleGames Inc.,2804.0
Magicbane,2802.0
Pirozhok Studio,2793.0
Grey Box,2773.0
Gamecosm,2772.0
Versus Evil,2769.0
Lord Kres,2759.0
Camagames,2754.0
Virtual Basement LLC,2747.0
M2H,2744.0
Crytek ,2740.0
Terrible Toybox,2733.0
Diego Rodrigues,2721.0
Apoapsis Studios,2719.0
Novarama,2715.0
GSC Game World,2699.0
Clever Endeavour Games,2696.0
Murudai,2687.0
Novalink,2686.0
Oxymoron Games,2648.0
AnukenDev,2633.0
Erik Asmussen,2629.0
Terry Cavanagh,2602.0
D-Games,2597.0
Sector3 Studios,2596.0
Street Lamp Games,2590.0
Kiwiforge,2582.0
StrangeLight Games,2572.0
Circle 5 Publishing,2547.0
Motion Games Studio,2543.0
PlayWay S.A.,2536.0
Standing Stone Games,2535.0
NedoStudio,2535.0
方块游戏(CubeGame),2529.0
Trapdoor,2526.0
KOG Games,2524.0
Trazzy Entertainment,2521.0
Defiant Development,2518.0
Icy Studios,2516.0
Wargaming Labs,2514.0
Dennis Esie,2509.0
Games Starter,2509.0
Lucas Parise,2502.0
Midnight Games EIRL,2500.0
Stitch Heads Entertainment,2497.0
Jonas De Carvalho Felinto,2494.0
Guy Godin,2492.0
Bigscreen,2491.0
BiscuitPlay,2488.0
Toast,2475.0
The Fighter Collection,2466.0
